Id,Name,SKU,content,"Short Description",sku,category,"Gallery Image","Product Image",Download,Image,print-position-1,color,kop-fran,tariff-stat-nr,standardfarg,tryckyta,logo,material,vikt,dimensioner,certifikat,"price option 50","price option 100","price option 250","price option 500","price option 1000","price option 2500","price option 5000",order-from,tariff-stat-no,print-surface,weight,dimensions,certificate,capacity,kapacitet,packaging,other,ovrigt,buy-from,standard-colour,imprint-surface,dimension,certificat,version,print-position-2,accessories,dimensionsr,print-area,dimensiones,colour,solar-charger,input,output,solar-laddning,printing-surface,tariff-statno,print-position-3,own-design,farg,sizes
154,"Laptop Stand Alu",14130,,"Ergonomic Laptop stand for the office / home office.

By raising and angling the computer to a more ergonomic working position you not only help your shoulders and elbows to be in a ergonomic correct position. The computer also gets better air circulation and cools down more efficiently, which gives longer battery life.

Adjustable angle in 6 steps, made of durable aluminum and has anti-slip surfaces for extra stability.

Portable, folds easily to a compact size and fits in the computer bag. A microfiber storage bag is included.",14130,"Home/Office,Laptop Products","https://elvirainfotech.live/usb/wp-content/uploads/2021/01/Alu-Laptop-stand_14130_4.jpg,https://elvirainfotech.live/usb/wp-content/uploads/2021/01/Alu-Laptop-stand_14130_9.jpg,https://elvirainfotech.live/usb/wp-content/uploads/2021/01/Alu-Laptop-stand_14130_2.jpg,https://elvirainfotech.live/usb/wp-content/uploads/2021/01/Alu-Laptop-stand_14130_3.jpg,https://elvirainfotech.live/usb/wp-content/uploads/2021/01/Alu-Laptop-stand_14130_11.jpg,https://elvirainfotech.live/usb/wp-content/uploads/2021/01/Alu-Laptop-stand_14130_10.jpg,https://elvirainfotech.live/usb/wp-content/uploads/2021/01/Alu-Laptop-stand_14130_8-Back.jpg,https://elvirainfotech.live/usb/wp-content/uploads/2021/01/Alu-Laptop-stand_14130_7-Front.jpg,https://elvirainfotech.live/usb/wp-content/uploads/2021/01/Alu-Laptop-stand_14130_6-Back.jpg,https://elvirainfotech.live/usb/wp-content/uploads/2021/01/Alu-Laptop-stand_14130_5-Front.jpg,https://elvirainfotech.live/usb/wp-content/uploads/2021/01/Alu-Laptop-stand_14130_12.jpg,https://elvirainfotech.live/usb/wp-content/uploads/2021/01/Alu-Laptop-stand_14130_13.jpg",https://elvirainfotech.live/usb/wp-content/uploads/2021/01/Alu-Laptop-stand_14130_1.jpg,"<a href=""https://www.usb.nu/wp-content/uploads/2021/01/Alu-Laptop-stand_14130_Pics.zip"" target=""_blank"" rel=""noopener"">Alu Laptop stand_14130_Pics</a>

<a href=""https://www.usb.nu/wp-content/uploads/2021/01/Laptop-Stand-Alu_14130_SIM.pdf"" target=""_blank"" rel=""noopener"">Laptop Stand Alu_14130_SIM</a>

<a href=""https://www.usb.nu/wp-content/uploads/2019/06/14130-Declaration-of-Conformity.pdf"" target=""_blank"" rel=""noopener"">14130 Declaration of conformity</a>",,725,Silver,-,-,-,-,-,Aluminium,-,-,-,,155,146,141,137,132,127,"100 pcs",76169990,"12x8, 7x40mm engraving",272g,"240x44x166 mm",Reach,-,-,-,-,-,-,-,-,-,-,-,engraving-261-2b-2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
155,"Laptop Stand Alu",14130,,"Ergonomiskt Laptopställ för kontoret/hemmakontoret.

Få en mer ergonomisk arbetsställning i din arbetsmiljö genom att höja och vinkla datorn till en mer ergonomisk arbetsställning. Datorn får även bättre luftcirkulation och kyls ner effektivare vilket ger längre batteritid.

Justerbar vinkel i 6 steg, tillverkad i tålig aluminium och har anti-glidytor för extra stabilitet.

Portabel, fälls enkelt ihop till en kompakt storlek och får plats i datorväskan. Det medföljer en förvaringspåse i microfiber.",14130,"Hemma/Kontor,Laptop-tillbehör","https://elvirainfotech.live/usb/wp-content/uploads/2021/01/Alu-Laptop-stand_14130_4.jpg,https://elvirainfotech.live/usb/wp-content/uploads/2021/01/Alu-Laptop-stand_14130_9.jpg,https://elvirainfotech.live/usb/wp-content/uploads/2021/01/Alu-Laptop-stand_14130_2.jpg,https://elvirainfotech.live/usb/wp-content/uploads/2021/01/Alu-Laptop-stand_14130_3.jpg,https://elvirainfotech.live/usb/wp-content/uploads/2021/01/Alu-Laptop-stand_14130_11.jpg,https://elvirainfotech.live/usb/wp-content/uploads/2021/01/Alu-Laptop-stand_14130_10.jpg,https://elvirainfotech.live/usb/wp-content/uploads/2021/01/Alu-Laptop-stand_14130_8-Back.jpg,https://elvirainfotech.live/usb/wp-content/uploads/2021/01/Alu-Laptop-stand_14130_7-Front.jpg,https://elvirainfotech.live/usb/wp-content/uploads/2021/01/Alu-Laptop-stand_14130_6-Back.jpg,https://elvirainfotech.live/usb/wp-content/uploads/2021/01/Alu-Laptop-stand_14130_5-Front.jpg,https://elvirainfotech.live/usb/wp-content/uploads/2021/01/Alu-Laptop-stand_14130_12.jpg,https://elvirainfotech.live/usb/wp-content/uploads/2021/01/Alu-Laptop-stand_14130_13.jpg",https://elvirainfotech.live/usb/wp-content/uploads/2021/01/Alu-Laptop-stand_14130_1.jpg,"<a href=""https://www.usb.nu/wp-content/uploads/2021/01/Alu-Laptop-stand_14130_Pics.zip"" target=""_blank"" rel=""noopener"">Alu Laptop stand_14130_Pics</a>

<a href=""https://www.usb.nu/wp-content/uploads/2021/01/Laptop-Stand-Alu_14130_SIM.pdf"" target=""_blank"" rel=""noopener"">Laptop Stand Alu_14130_SIM</a>

<a href=""https://www.usb.nu/wp-content/uploads/2019/06/14130-Declaration-of-Conformity.pdf"" target=""_blank"" rel=""noopener"">14130 Declaration of conformity</a>",,725-sv,-,"100 st",76169990,Silver,"12x8, 7x40mm gravyr",-,Aluminium,272g,240x44x166mm,Reach,,155,146,141,137,132,127,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,engraving-261-2b-2-2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
156,"PD 20W Fast charging Wall Adapter",14110,,"The charger of the future with USB C PD charging and QC 3.0 fast charging is here. Gives a power of over 20W output. USB-C PD charging is a fast-charging feature that charges your iPhone 8 or newer mobile phones extremely fast. Charge of as much as 50 percent in 30 minutes for a mobile phone and an iPad Pro to 50 percent in 60 minutes. This is when connected to a USB-C to Lightning cable. With the right wall socket as our PD Fast Charging wall adapter together with the right USB Type C cable, you have a wall socket that is guaranteed to solve your power problems quickly. The charging time varies depending on environmental factors. The connector is TUV-approved, guarantees a safe product that is approved in the EU.

<a href=""https://www.usb.nu/product/pd-18w-3a-fast-charging-cable/?lang=en"" target=""_blank"" rel=""noopener"">PD 18W 3A Fast charging cable</a>",14110,"Chargers/Cables,Home/Office","https://elvirainfotech.live/usb/wp-content/uploads/2021/01/14110_PD-Fast-charging-black_2-scaled.jpg,https://elvirainfotech.live/usb/wp-content/uploads/2021/01/Walladapter-PD-Charging_2.jpg,https://elvirainfotech.live/usb/wp-content/uploads/2021/01/Walladapter-PD-Charging_6-1.jpg,https://elvirainfotech.live/usb/wp-content/uploads/2021/01/Walladapter-PD-Charging_5-1.jpg,https://elvirainfotech.live/usb/wp-content/uploads/2021/01/Walladapter-PD-Charging_3-1.jpg,https://elvirainfotech.live/usb/wp-content/uploads/2021/01/Walladapter-PD-Charging_4-1.jpg,https://elvirainfotech.live/usb/wp-content/uploads/2021/01/Walladapter-PD-Charging_7.jpg",https://elvirainfotech.live/usb/wp-content/uploads/2021/01/Walladapter-PD-Charging_1-1.jpg,"<a href=""https://www.usb.nu/wp-content/uploads/2021/01/14110_PD-Fast-charging_PIC.zip"" target=""_blank"" rel=""noopener"">14110_PD Fast charging_PIC</a>

<a href=""https://www.usb.nu/wp-content/uploads/2021/01/14110_PD-Fast-Charging-wall-adapter_SIM-2.pdf"" target=""_blank"" rel=""noopener"">14110_PD Fast Charging wall adapter_SIM</a>

<a href=""https://www.usb.nu/wp-content/uploads/2021/01/14110-Declaration-of-Conformity.pdf"" target=""_blank"" rel=""noopener"">14110 Declaration of Conformity</a>",,"715,203-11m,211-11-3m,211-11-4m,214-14m","White or black",-,-,-,-,"Silk print",PC,-,-,-,,85,81,79,76,73,0,"100 pcs",8507600065,25x25mm,56g,80x42x30mm,Rohs,"Output: 5-12V 1,5-3A max 20W",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
157,"PD 20W Fast charging Wall Adapter",14110,,"Framtidens laddare med USB C PD charging och QC 3,0 fast charge är här. Ger en output på över 20W. USB-C PD laddning är en snabb laddningsfunktion som laddar din iPad eller från iPhone 8 eller nyare extremt snabbt. Laddning om hela 50 procent på 30 minuter för en mobiltelefon och en iPad Pro till 50 procent på 60 minuter. Detta när den är ihopkopplad med en USB-C till Lightning-kabel.  Med rätt väggkontakt som vår PD Fast Charging wall adapter tillsammans med rätt sladd USB Type C så har du en väggkontakt som garanterat löser dina strömproblem snabbt. Laddningstiden varierar beroende på miljöfaktorer. Kontakten är TUV approved vilket garanterar en säker produkt som är gdk i EU.

<a href=""https://www.usb.nu/produkt/pd-18w-3a-fast-charging-cable/"" target=""_blank"" rel=""noopener"">PD 18W 3A Fast charging cable</a>",14110,"Hemma/Kontor,Laddare/Sladdar","https://elvirainfotech.live/usb/wp-content/uploads/2021/01/14110_PD-Fast-charging-black_2-scaled.jpg,https://elvirainfotech.live/usb/wp-content/uploads/2021/01/Walladapter-PD-Charging_2.jpg,https://elvirainfotech.live/usb/wp-content/uploads/2021/01/Walladapter-PD-Charging_6-1.jpg,https://elvirainfotech.live/usb/wp-content/uploads/2021/01/Walladapter-PD-Charging_5-1.jpg,https://elvirainfotech.live/usb/wp-content/uploads/2021/01/Walladapter-PD-Charging_3-1.jpg,https://elvirainfotech.live/usb/wp-content/uploads/2021/01/Walladapter-PD-Charging_4-1.jpg,https://elvirainfotech.live/usb/wp-content/uploads/2021/01/Walladapter-PD-Charging_7.jpg",https://elvirainfotech.live/usb/wp-content/uploads/2021/01/Walladapter-PD-Charging_1-1.jpg,"<a href=""https://www.usb.nu/wp-content/uploads/2021/01/14110_PD-Fast-charging_PIC.zip"" target=""_blank"" rel=""noopener"">14110_PD Fast charging_PIC</a>

<a href=""https://www.usb.nu/wp-content/uploads/2021/01/14110_PD-Fast-Charging-wall-adapter_SIM-2.pdf"" target=""_blank"" rel=""noopener"">14110_PD Fast Charging wall adapter_SIM</a>

<a href=""https://www.usb.nu/wp-content/uploads/2021/01/14110-Declaration-of-Conformity.pdf"" target=""_blank"" rel=""noopener"">14110 Declaration of Conformity</a>",,"715-sv,203-11m-sv,211-11-3m-sv,211-11-4m-sv,214-14m-sv",-,"100 st",8507600065,"Vit eller svart",25x25mm,Silk,PC,56g,80x42x30mm,Rohs,,85,81,79,76,73,0,-,-,-,-,-,-,-,"Output: 5-12V 1,5-3A max 20W.",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
158,"Mobile Stand Smart Alu",14100,,"<span lang=""en"">A robust, smart and adjustable mobile stand. Perfect for FaceTime calls, Skype or watching TV shows. Perfect for placing on the kitchen counter while you cook so you can follow recipes etc. Smart product with a wide range of uses.</span>",14100,"Home/Office,Mobile Accessories","https://elvirainfotech.live/usb/wp-content/uploads/2021/01/DSC_1913.jpg,https://elvirainfotech.live/usb/wp-content/uploads/2021/01/DSC_1622.jpg,https://elvirainfotech.live/usb/wp-content/uploads/2021/01/DSC_1621.jpg,https://elvirainfotech.live/usb/wp-content/uploads/2021/01/DSC_1626.jpg,https://elvirainfotech.live/usb/wp-content/uploads/2021/01/DSC_1624.jpg,https://elvirainfotech.live/usb/wp-content/uploads/2021/01/Phone-stand-Smart-Alu_14100_6.jpg,https://elvirainfotech.live/usb/wp-content/uploads/2021/01/Phone-stand-Smart-Alu_14100_7.jpg,https://elvirainfotech.live/usb/wp-content/uploads/2021/01/Phone-stand-Smart-Alu_14100_8.jpg",https://elvirainfotech.live/usb/wp-content/uploads/2021/01/DSC_1626.jpg,"<a href=""https://www.usb.nu/wp-content/uploads/2021/01/Phone-stand-Smart-Alu_14100_Pics-1.zip"" target=""_blank"" rel=""noopener"">Phone stand Smart Alu_14100_Pics</a>

<a href=""https://www.usb.nu/wp-content/uploads/2021/01/Phone-Stand-Smart-Alu_SIM_art-no-14100.pdf"" target=""_blank"" rel=""noopener"">Phone Stand Smart Alu_SIM_art no 14100</a>

<a href=""https://www.usb.nu/wp-content/uploads/2019/06/14100-Declaration-of-Conformity.pdf"" target=""_blank"" rel=""noopener"">14100 Declaration of conformity</a>",,725,"Black, Silver",-,-,-,-,Engraving,"Aluminium, Metal, Silicone",-,-,-,,89,80,76,74,69.50,66.50,"100 pcs",76169990,"50x50mm, 30x30 mm",107g,80x74x100mm,Reach,-,-,-,-,-,-,-,-,-,-,-,engraving-261-2b-2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
159,"Mobile Stand Smart Alu",14100,,"Ett robust och smart mobilställ som är ställbart. Perfekt för FaceTime-samtal, Skype eller för att titta på tv-program. Passar perfekt att ställa på köksbänken medan du lagar mat så att du kan följa recept mm. Smart produkt med stort användningsområde.",14100,"Hemma/Kontor,Mobiltillbehör","https://elvirainfotech.live/usb/wp-content/uploads/2021/01/DSC_1913.jpg,https://elvirainfotech.live/usb/wp-content/uploads/2021/01/DSC_1622.jpg,https://elvirainfotech.live/usb/wp-content/uploads/2021/01/DSC_1621.jpg,https://elvirainfotech.live/usb/wp-content/uploads/2021/01/DSC_1626.jpg,https://elvirainfotech.live/usb/wp-content/uploads/2021/01/DSC_1624.jpg,https://elvirainfotech.live/usb/wp-content/uploads/2021/01/Phone-stand-Smart-Alu_14100_6.jpg,https://elvirainfotech.live/usb/wp-content/uploads/2021/01/Phone-stand-Smart-Alu_14100_7.jpg,https://elvirainfotech.live/usb/wp-content/uploads/2021/01/Phone-stand-Smart-Alu_14100_8.jpg",https://elvirainfotech.live/usb/wp-content/uploads/2021/01/DSC_1626.jpg,"<a href=""https://www.usb.nu/wp-content/uploads/2021/01/Phone-stand-Smart-Alu_14100_Pics-1.zip"" target=""_blank"" rel=""noopener"">Phone stand Smart Alu_14100_Pics</a>

<a href=""https://www.usb.nu/wp-content/uploads/2021/01/Phone-Stand-Smart-Alu_SIM_art-no-14100.pdf"" target=""_blank"" rel=""noopener"">Phone Stand Smart Alu_SIM_art no 14100</a>

<a href=""https://www.usb.nu/wp-content/uploads/2019/06/14100-Declaration-of-Conformity.pdf"" target=""_blank"" rel=""noopener"">14100 Declaration of conformity</a>",,725-sv,-,"100 st",76169990,"Svart, Silver","50x50mm, 30x30mm",Gravyr,"Aluminium, Metall, Silikon",107g,80x74x100mm,Reach,,89,80,76,74,69.50,66.50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,engraving-261-2b-2-2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
160,"UV Cleanbox and QI charging",13707,,"<p id=""tw-target-text"" class=""tw-data-text tw-text-large XcVN5d tw-ta"" dir=""ltr"" data-placeholder=""Översättning""><span lang=""en"">Place the object you want to disinfect in the box, close the lid and select if you want to do a quick clean in 1 minute or a complete cleaning on 10 minutes. You can disinfect non-porous every day objects such as your phone, earphones, keys and remote controls and more. </span></p>
<p class=""tw-data-text tw-text-large XcVN5d tw-ta"" dir=""ltr"" data-placeholder=""Översättning""><span lang=""en"">The non-toxic UV-C light kills 99.99% of the most common surface bacteria. The light is safe for electronic devices, cleans all exposed sides and even the cracks in your device by destroying molecular-level pathogens. No heat or liquid is used. The box is equipped with smart protection that switches the light off automatically when the drawer is opened to prevent the user from being exposed to the UV-C light. </span></p>
<p class=""tw-data-text tw-text-large XcVN5d tw-ta"" dir=""ltr"" data-placeholder=""Översättning""><span lang=""en"">Charge your phone wirelessly with the built-in quick charger by placing the phone on the charging surface of the cover. With QI Fast Charge 10W technology, your phone charges much faster than with standard QI. </span></p>
<p class=""tw-data-text tw-text-large XcVN5d tw-ta"" dir=""ltr"" data-placeholder=""Översättning""><span lang=""en"">The UV box has a universal USB-C port and comes with a charging cable. The UV-C lamps have a long life, up to 10,000 hours.</span></p>",13707,iPad-tillbehör,"https://elvirainfotech.live/usb/wp-content/uploads/2020/10/UV-box_13707_5.jpg,https://elvirainfotech.live/usb/wp-content/uploads/2020/10/UV-box_13707_1.jpg,https://elvirainfotech.live/usb/wp-content/uploads/2020/10/UV-box_13707_3.jpg,https://elvirainfotech.live/usb/wp-content/uploads/2020/10/UV-box_13707_4.jpg",https://elvirainfotech.live/usb/wp-content/uploads/2020/10/UV-box_13707_4-1.jpg,"<a href=""https://www.usb.nu/wp-content/uploads/2020/10/UV-box_13707_Pics.zip"" target=""_blank"" rel=""noopener"">UV box_13707_Pics</a>

<a href=""https://www.usb.nu/wp-content/uploads/2020/10/UV-box-with-QI-charging-10W_SIM.pdf"" target=""_blank"" rel=""noopener"">UV box with QI charging 10W_SIM</a>",,"715,203-11m,211-11-3m,211-11-4m",White,-,-,-,-,"1-4-Color print. Tampo",ABS,-,-,-,149,149,149,149,0,0,,"100 pcs",8504409090,"44x90mm, 44x60mm, 48x48mm",286g,196x115x53mm,CE,"30mW disinfection effect (UV-C), 10W QI",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
161,"UV Cleanbox and QI charging",13707,,"Placera det föremål du vill desinficera i boxen, stäng locket och välj om du vill göra en snabb rengöring på 1 minut eller en fullständig rengöring på 10 minuter. Du kan desinficera icke-porösa föremål du hanterar varje dag så som din telefon, öronsnäckor, nycklar och fjärrkontroller bland andra. Det giftfria UV-C-ljuset dödar 99,99% av de vanligaste ytbakterierna. Ljuset är säkert för elektroniska apparater, sanerar alla utsatta sidor och även i sprickor på din enhet genom att förstöra patogener på molekylnivå. Ingen värme eller vätska används. Boxen är utrustad med smart skydd som gör att ljuset släcks automatiskt när lådan öppnas för att förhindra att användaren inte exponeras för UV-C-ljuset. Ladda din telefon trådlöst med den inbyggda snabbladdaren genom att placera telefonen på lockets laddningsyta. Med QI Fast Charge 10W-tekniken laddas din telefon mycket snabbare än med standard QI. UV boxen har en universell USB-C-port och levereras med en laddkabel. UV-C lamporna har lång livslängd, upp till 10000 timmar.",13707,iPad-tillbehör,"https://elvirainfotech.live/usb/wp-content/uploads/2020/10/UV-box_13707_5.jpg,https://elvirainfotech.live/usb/wp-content/uploads/2020/10/UV-box_13707_1.jpg,https://elvirainfotech.live/usb/wp-content/uploads/2020/10/UV-box_13707_3.jpg,https://elvirainfotech.live/usb/wp-content/uploads/2020/10/UV-box_13707_4.jpg",https://elvirainfotech.live/usb/wp-content/uploads/2020/10/UV-box_13707_4-1.jpg,"<a href=""https://www.usb.nu/wp-content/uploads/2020/10/UV-box_13707_Pics.zip"" target=""_blank"" rel=""noopener"">UV box_13707_Pics</a>

<a href=""https://www.usb.nu/wp-content/uploads/2020/10/UV-box-with-QI-charging-10W_SIM.pdf"" target=""_blank"" rel=""noopener"">UV box with QI charging 10W_SIM</a>",,"715-sv,203-11m-sv,211-11-3m-sv,211-11-4m-sv",-,"50 st",8504409090,Vit,"44x90mm, 44x60mm, 48x48mm","1-4-färgtryck. Tampo",ABS,286g,196x115x53mm,CE,149,149,149,149,224,216,211,-,-,-,-,-,-,-,"30mW desinficeringseffekt (UV-C), 10W QI",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
162,"Mousepad Gaming XXL",13699,,"För dig som vill ha ut max av din skrivbordsyta eller ditt spelande. En musmatta som täcker en yta om hela 800x300mm med sydda kanter. Du kan enkelt ha både tangentbord och mus på denna samtidigt.

En reklamyta som är enorm gör denna produkt till både ett skrivbordsunderlägg och en gaming matta. Undersida i svart halkfritt naturgummi med maximal kontaktyta mot underlaget. Musmattan är optimerad för både lasersensorer och optiska sensorer och fungerar lika väl, oavsett om du använder hög eller låg känslighet på din datormus. Framtagen av gamers för gamers.

Vi använder FSC sublimeringspapper och färgerna är vattenbaserade. Producerat in-house i Malmö.",13699,"Hemma/Kontor,Musmattor/Gaming","https://elvirainfotech.live/usb/wp-content/uploads/2020/08/Matta-XXL-med-keyboard-o-mus-scaled.jpg,https://elvirainfotech.live/usb/wp-content/uploads/2020/08/Mousepad-XXl-1.jpg,https://elvirainfotech.live/usb/wp-content/uploads/2020/08/Mouspad-Gaming-XXL_13699_6.jpg,https://elvirainfotech.live/usb/wp-content/uploads/2020/08/Mouspad-Gaming-XXL_13699_4.jpg",https://elvirainfotech.live/usb/wp-content/uploads/2020/08/Mousepad-Gaming-XXL_13699_N2-ENG.jpg,"<a href=""https://www.usb.nu/wp-content/uploads/2020/08/Mouspad-Gaming-XXL_13699_Pics.zip"" target=""_blank"" rel=""noopener"">Mouspad Gaming XXL_13699_Pics</a>

<a href=""https://www.usb.nu/wp-content/uploads/2020/08/00000-Mousepad-Gaming-XXL_800x300_SIM.pdf"" target=""_blank"" rel=""noopener"">00000 Mousepad Gaming XXL_800x300_SIM</a>

<a href=""https://www.usb.nu/wp-content/uploads/2020/08/00000-Mousepad-Gaming-XXL_800x300_MATTA.pdf"" target=""_blank"" rel=""noopener"">00000 Mousepad Gaming XXL_800x300_MATTA</a>

<a href=""https://www.usb.nu/wp-content/uploads/2019/06/13699-Declaration-of-Conformity.pdf"" target=""_blank"" rel=""noopener"">13699 Declaration of conformity</a>

&nbsp;

&nbsp;",,730-sv,-,"100 st",4016999790,"Benvit textil, svart naturgummi. Sydd kant.",800x300mm,"Fullfärgstryck sublimering","Textil, naturgummi",400g,800x300,Reach,159,139,119,109,99,95,89,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
163,"Mousepad Gaming XXL",13699,,"For you who want to get the most out of your deskspace or your gaming. A mousepad that covers an area of 800x300mm with sewn edges. You can easily fit both keyboard and mouse at the same time.

An advertising space that is huge makes this product both a desk mat and a gaming pad.

Underside in black non-slip natural rubber with maximum contact surface to the surface. The mousepad is optimized for both laser sensors and optical sensors and works equally well, regardless of whether you use high or low sensitivity on your computer mouse. Developed by gamers for gamers.

We use FSC sublimation heat transfer paper and the ink is waterbased. Produced in-house in Malmö.",13699,"Home/Office,Mousepads/Gaming","https://elvirainfotech.live/usb/wp-content/uploads/2020/08/Matta-XXL-med-keyboard-o-mus-scaled.jpg,https://elvirainfotech.live/usb/wp-content/uploads/2020/08/Mousepad-XXl-1.jpg,https://elvirainfotech.live/usb/wp-content/uploads/2020/08/Mouspad-Gaming-XXL_13699_6.jpg,https://elvirainfotech.live/usb/wp-content/uploads/2020/08/Mouspad-Gaming-XXL_13699_4.jpg",https://elvirainfotech.live/usb/wp-content/uploads/2020/08/Mousepad-Gaming-XXL_13699_N2-ENG.jpg,"<a href=""https://www.usb.nu/wp-content/uploads/2020/08/Mouspad-Gaming-XXL_13699_Pics.zip"" target=""_blank"" rel=""noopener"">Mouspad Gaming XXL_13699_Pics</a>

<a href=""https://www.usb.nu/wp-content/uploads/2020/08/00000-Mousepad-Gaming-XXL_800x300_SIM.pdf"" target=""_blank"" rel=""noopener"">00000 Mousepad Gaming XXL_800x300_SIM</a>

<a href=""https://www.usb.nu/wp-content/uploads/2020/08/00000-Mousepad-Gaming-XXL_800x300_MATTA.pdf"" target=""_blank"" rel=""noopener"">00000 Mousepad Gaming XXL_800x300_MATTA</a>

<a href=""https://www.usb.nu/wp-content/uploads/2019/06/13699-Declaration-of-Conformity.pdf"" target=""_blank"" rel=""noopener"">13699 Declaration of conformity</a>

&nbsp;

&nbsp;",,730,"Off-white textile, black natural rubber. Sewn edges.",-,-,-,-,"Fullcolour printing, sublimation","Textile, natural rubber",-,-,-,159,139,119,109,99,,,"100 pcs",4016999790,800x300mm,400g,800x300mm,Reach,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
164,"Electro Fire Gift Set",13700,,"En gåva för alla. En smart uppladdningsbar tändare snyggt packat med ett stort blockljus passar verkligen till alla. Tändaren har ingen gas utan drivs av ett uppladdningsbart batteri som du kan ladda upp igen och igen. En laddning räcker till över 100 tändningar!

Gåvan som är både trevlig, nyttig och miljövänlig. Packas i en presentpåse med en hälsning tryckt på ett klistermärke som ni designar!",13700,"Förpackning,Övrigt","https://elvirainfotech.live/usb/wp-content/uploads/2020/08/Electro-Fire-Julklapp_9-scaled.jpg,https://elvirainfotech.live/usb/wp-content/uploads/2020/08/Electro-Fire-gift_13700_2-scaled.jpg,https://elvirainfotech.live/usb/wp-content/uploads/2020/08/Electro-Fire-gift_13700_4-scaled.jpg,https://elvirainfotech.live/usb/wp-content/uploads/2020/08/Electro-Fire-gift_13700_5-scaled.jpg,https://elvirainfotech.live/usb/wp-content/uploads/2020/08/Electro-Fire-gift_13700_6-scaled.jpg,https://elvirainfotech.live/usb/wp-content/uploads/2020/08/God-jul_Electro-Fire-ljus_sticker_SIM-02.jpg,https://elvirainfotech.live/usb/wp-content/uploads/2020/08/God-jul_Electro-Fire-ljus_sticker_SIM-03.jpg,https://elvirainfotech.live/usb/wp-content/uploads/2020/08/God-jul_Electro-Fire-ljus_sticker_SIM-04.jpg,https://elvirainfotech.live/usb/wp-content/uploads/2020/08/God-jul_Electro-Fire-ljus_sticker_SIM-05.jpg,https://elvirainfotech.live/usb/wp-content/uploads/2020/08/God-jul_Electro-Fire-ljus_sticker_SIM-01.jpg",https://elvirainfotech.live/usb/wp-content/uploads/2020/08/Electro-Fire-gift_13700_1-scaled.jpg,"<a href=""https://www.usb.nu/wp-content/uploads/2020/08/Electro-Fire-gift_13700_Pics-1.zip"" target=""_blank"" rel=""noopener"">Electro Fire gift_13700_Pics</a>

<a href=""https://www.usb.nu/wp-content/uploads/2019/06/Electro-Fire_13599_SIM.pdf"" target=""_blank"" rel=""noopener"">Electro Fire_13599_SIM</a>

<a href=""https://www.usb.nu/wp-content/uploads/2020/08/1-CTWO-God-jul_Electro-Fire-ljus_sticker_SIM.pdf"" target=""_blank"" rel=""noopener"">1 CTWO God jul_Electro Fire ljus_sticker_SIM</a>",,dekal-inkluderad,-,"100 st",9613800000,"Svart tändare, mixad färg på ljuset","Label 99x60mm","Label med fullfärgstryck på påsen","ABS, Metall, stearin",437g,280x160mm,Rohs,,129,125,122,119,117,115,-,-,-,-,-,-,-,"220mAh Full laddning klarar  fler än 100 tändningar",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
